aidoc_iri,ref_iri,consensus,note
https://w3id.org/aidoc-ap#AIAgent,https://w3id.org/dpv/ai#AIAgent,REJECT,Team-Konsens 14.07.2026: falscher Freund: human/org agent vs software agent
https://w3id.org/aidoc-ap#DataTesting,https://w3id.org/vair#Testing,REJECT,Team-Konsens 14.07.2026: Aktivität vs. Phase
https://w3id.org/aidoc-ap#DataTraining,http://mex.aksw.org/mex-core#Training,REJECT,Team-Konsens 14.07.2026: Aktivität vs. Phase
https://w3id.org/aidoc-ap#DataValidation,http://mex.aksw.org/mex-core#Validation,REJECT,Team-Konsens 14.07.2026: Aktivität vs. Phase
https://w3id.org/aidoc-ap#DataValidation,https://w3id.org/vair#Validation,REJECT,Team-Konsens 14.07.2026: Aktivität vs. Phase
https://w3id.org/aidoc-ap#ModelEvaluation,https://w3id.org/vair#ReEvaluation,REJECT,Team-Konsens 14.07.2026: Aktivität vs. Phase
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/tech#Model,skos:broadMatch,Team-Konsens 14.07.2026: generisches Oberkonzept
https://w3id.org/aidoc-ap#AIModel,http://mex.aksw.org/mex-core#Model,skos:broadMatch,Team-Konsens 14.07.2026: generisches Oberkonzept
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/vair#Model,skos:broadMatch,Team-Konsens 14.07.2026: generisches Oberkonzept
https://w3id.org/aidoc-ap#AISystem,https://w3id.org/sao#System,skos:broadMatch,Team-Konsens 14.07.2026: generisches Oberkonzept
https://w3id.org/aidoc-ap#VisualDocumentation,https://w3id.org/dpv/legal/eu/aiact#TechnicalDocumentation,skos:broadMatch,Team-Konsens 14.07.2026: visuelle Dok. kann Teil der technischen Dok. sein
https://w3id.org/aidoc-ap#VisualDocumentation,https://w3id.org/vair#TechnicalDocumentation,skos:broadMatch,Team-Konsens 14.07.2026: visuelle Dok. kann Teil der technischen Dok. sein
https://w3id.org/aidoc-ap#DataCleaningProcedure,https://w3id.org/rains#DataPreprocessingProcedure,skos:broadMatch,Team-Konsens 14.07.2026: cleaning ist Teilmenge von preprocessing
https://w3id.org/aidoc-ap#ModelEvaluation,https://w3id.org/rains#Evaluation,REJECT,Team-Konsens 14.07.2026: Ergebnis vs. Aktivität
https://w3id.org/aidoc-ap#PostMarketMonitoringActivity,https://w3id.org/dpv/legal/eu/aiact#PostMarketMonitoringSystem,skos:closeMatch,Team-Konsens 14.07.2026: dpv-Definition: activities carried out by providers
